Date,y,b0,b1,b2
1948Q3,8.14401296,15,8.626617999,8.468537316
1948Q4,4.429495505,8,8.14401296,8.626617999
1949Q1,1.374143949,4,4.429495505,8.14401296
1949Q2,-0.318457154,96,1.374143949,4.429495505
1949Q3,-2.826827788,17,-0.318457154,1.374143949
1949Q4,-2.145577839,2,-2.826827788,-0.318457154
1950Q1,-1.5009189,94,-2.145577839,-2.826827788
1950Q2,-0.629931827,37,-1.5009189,-2.145577839
1950Q3,2.030244858,42,-0.629931827,-1.5009189
1950Q4,4.271374747,85,2.030244858,-0.629931827
1951Q1,8.564404428,87,4.271374747,2.030244858
1951Q2,8.776621162,96,8.564404428,4.271374747
1951Q3,6.904537147,75,8.776621162,8.564404428
1951Q4,6.369252803,47,6.904537147,8.776621162
1952Q1,2.767183203,93,6.369252803,6.904537147
1952Q2,2.059834113,1,2.767183203,6.369252803
1952Q3,2.788849912,71,2.059834113,2.767183203
1952Q4,1.434776822,7,2.788849912,2.059834113
1953Q1,0.766780521,44,1.434776822,2.788849912
1953Q2,0.877068109,82,0.766780521,1.434776822
1953Q3,0.66024635,73,0.877068109,0.766780521
1953Q4,0.721452899,41,0.66024635,0.877068109
1954Q1,1.244401803,52,0.721452899,0.66024635
1954Q2,0.708562752,37,1.244401803,0.721452899
1954Q3,-0.012333683,13,0.708562752,1.244401803
1954Q4,-0.496999816,65,-0.012333683,0.708562752
1955Q1,-0.59536953,11,-0.496999816,-0.012333683
1955Q2,-0.571423356,83,-0.59536953,-0.496999816
1955Q3,-0.236418647,20,-0.571423356,-0.59536953
1955Q4,0.373042322,17,-0.236418647,-0.571423356
1956Q1,0.248496896,31,0.373042322,-0.236418647
1956Q2,1.040558176,39,0.248496896,0.373042322
1956Q3,1.996779806,63,1.040558176,0.248496896
1956Q4,2.548682422,23,1.996779806,1.040558176
1957Q1,3.355448568,46,2.548682422,1.996779806
1957Q2,3.548865385,56,3.355448568,2.548682422
1957Q3,3.406687197,68,3.548865385,3.355448568
1957Q4,3.038635906,38,3.406687197,3.548865385
1958Q1,3.39758919,35,3.038635906,3.406687197
1958Q2,3.220190779,95,3.39758919,3.038635906
1958Q3,2.273912558,96,3.220190779,3.39758919
1958Q4,1.895273528,63,2.273912558,3.220190779
1959Q1,0.889759379,8,1.895273528,2.273912558
1959Q2,0.390829539,26,0.889759379,1.895273528
1959Q3,0.963674595,9,0.390829539,0.889759379
1959Q4,1.463375776,93,0.963674595,0.390829539
1960Q1,1.381533681,21,1.463375776,0.963674595
1960Q2,1.808528949,14,1.381533681,1.463375776
1960Q3,1.349666617,88,1.808528949,1.381533681
1960Q4,1.386340727,78,1.349666617,1.808528949
1961Q1,1.496869189,15,1.386340727,1.349666617
1961Q2,0.864190176,12,1.496869189,1.386340727
1961Q3,1.198166556,78,0.864190176,1.496869189
1961Q4,0.702719262,1,1.198166556,0.864190176
1962Q1,0.889529885,73,0.702719262,1.198166556
1962Q2,1.298936125,67,0.889529885,0.702719262
1962Q3,1.194621582,6,1.298936125,0.889529885
1962Q4,1.292061557,100,1.194621582,1.298936125
1963Q1,1.221584666,61,1.292061557,1.194621582
1963Q2,1.031348013,47,1.221584666,1.292061557
1963Q3,1.354969964,59,1.031348013,1.221584666
1963Q4,1.383678544,44,1.354969964,1.031348013
1964Q1,1.47655613,61,1.383678544,1.354969964
1964Q2,1.452419491,30,1.47655613,1.383678544
